file_name,file_size_bytes,page_count,sha256,access_date,include_in_v1,document_id,document_type,title,issuer,authority_level,reporting_period_start,reporting_period_end,effective_from,indexed_language,extraction_method,indexed_start_page,indexed_end_page,source_url,redistribution_status,gazette_number,publication_date,effective_date_note
2H24-Consumer_Report_Jul-to-Dec-2024-Final_CCR.pdf,2774665,35,3b9e953efdf51d8adb464f7e7d2064d58c46beb1049a99d3e2bbbed4591b62c2,2026-06-20,True,report_2h2024,consumer_report,Consumer Report July to December 2024,MAVCOM,official_report,2024-07-01,2024-12-31,,en,pymupdf,1.0,35.0,https://www.caam.gov.my/wp-content/uploads/2025/07/2H24-Consumer_Report_Jul-to-Dec-2024-Final_CCR.pdf,restricted_notice_in_pdf,,,
Appendix-I_-Consumer-Report-Jan-to-Jun-2024.pdf,1376413,22,5eaf436905a9ffc15aa28527d986c0745f9fe74b84633dacd0d9a41364142fd8,2026-06-20,True,report_1h2024,consumer_report,Consumer Report January to June 2024,MAVCOM,official_report,2024-01-01,2024-06-30,,en,pymupdf,1.0,22.0,https://www.caam.gov.my/wp-content/uploads/2025/07/Appendix-I_-Consumer-Report-Jan-to-Jun-2024.pdf,restricted_notice_in_pdf,,,
Consumer-Report-Jan-Jun-2025.pdf,1787175,53,a8e94fe9c088288d5a82927a8eaf6df9d781db675cd55052d0161a7f8665f2e2,2026-06-20,True,report_1h2025,consumer_report,Consumer Report January to June 2025,CAAM,official_report,2025-01-01,2025-06-30,,en,pymupdf,1.0,53.0,https://www.caam.gov.my/wp-content/uploads/2025/12/Consumer-Report-Jan-Jun-2025.pdf,requires_external_terms_review,,,
Consumer-Report-July-2023-to-December-2023-FINAL.pdf,816876,22,a0218f8005e12769df7ea3ca17e0c2c8171cc88770e2956515d9ae8899187a1a,2026-06-20,True,report_2h2023,consumer_report,Consumer Report July to December 2023,MAVCOM,official_report,2023-07-01,2023-12-31,,en,pymupdf,1.0,22.0,https://www.caam.gov.my/wp-content/uploads/2025/07/Consumer-Report-July-2023-to-December-2023-FINAL.pdf,restricted_notice_in_pdf,,,
MACPC-2016-ENG-Updated-24-Apr-2025.pdf,9973057,9,af90d536fb9bda57928914a74b167f8f853e68cb5aa5f7ad7b7d810e56c6b1ca,2026-06-20,False,guidance_2025,consumer_guidance,Malaysian Aviation Consumer Protection Code 2016: Know Your Rights,MAVCOM,official_guidance,,,,en,pymupdf,,,https://flysmart.my/wp-content/uploads/2025/04/MACPC-2016-ENG-Updated-24-Apr-2025.pdf,requires_external_terms_review,,,
MACPC-Enhancement-PUB345_2024.pdf,862912,58,cddf845fc21edc4975b53106962f27c604deb9934ee551c66a996c826c99e658,2026-06-20,True,macpc_amendment_2024,gazette_amendment,Malaysian Aviation Consumer Protection (Amendment) Code 2024,MAVCOM,gazette,,,2024-09-01,en,pdfplumber,34.0,58.0,https://www.caam.gov.my/wp-content/uploads/2025/07/MACPC-Enhancement-PUB345_2024.pdf,requires_external_terms_review,P.U. (B) 345,2024-08-30,Most provisions effective 2024-09-01; new paragraph 8A effective 2025-01-01.
Malaysian-Aviation-Consumer-Protection-Amendment-Code-2019.pdf,668176,32,11a3275db2a8128a09251cf53e11ec42b5e3fcd55258dd630735bdec40c17dc7,2026-06-20,True,macpc_amendment_2019,gazette_amendment,Malaysian Aviation Consumer Protection (Amendment) Code 2019,MAVCOM,gazette,,,2019-06-01,en,pdfplumber,19.0,32.0,https://www.caam.gov.my/wp-content/uploads/2025/07/Malaysian-Aviation-Consumer-Protection-Amendment-Code-2019.pdf,requires_external_terms_review,P.U. (B) 250,2019-05-10,All provisions effective 2019-06-01.
pub_20160630_P.U.-B-305.pdf,692893,66,cb8518ebf94785a286fb4b84900bf742758c4a5af93eb0bb9b11850d76bf0746,2026-06-20,True,macpc_principal_2016,gazette_principal,Malaysian Aviation Consumer Protection Code 2016,MAVCOM,gazette,,,2016-07-01,en,pdfplumber,37.0,66.0,https://www.caam.gov.my/wp-content/uploads/2025/07/pub_20160630_P.U.-B-305.pdf,requires_external_terms_review,P.U. (B) 305,2016-06-30,Principal Code effective 2016-07-01.
